week,agent_type,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,full_chimera,100.0,0.7019917576010509,30575.0,624,625.0
2,full_chimera,150.0,0.6921436709962878,44750.0,460,1250.0
3,full_chimera,150.0,0.6910136796281363,38462.5,385,37.5
4,full_chimera,150.0,0.68963165226888,33400.0,334,0.0
5,full_chimera,150.0,0.6914872001708452,39700.0,403,600.0
6,full_chimera,150.0,0.6941605663835084,44900.0,457,800.0
7,full_chimera,150.0,0.6930439554658566,38960.0,390,40.0
8,full_chimera,150.0,0.6920084904683967,40148.0,402,52.0
9,full_chimera,150.0,0.6910425119325889,38837.6,389,62.4
10,full_chimera,142.5,0.6896638743490701,41347.0,447,0.5
11,full_chimera,142.5,0.6882885030991305,41254.425,446,0.575
12,full_chimera,142.5,0.6869187917799214,39959.0,432,1.0
13,full_chimera,142.5,0.6855723212967453,42083.5,455,4.0
14,full_chimera,142.5,0.6842080152471913,40606.5,439,1.0
15,full_chimera,142.5,0.682849834136413,37738.5,408,1.5
16,full_chimera,142.5,0.6814953696898478,39865.85,431,1.65
17,full_chimera,138.225,0.6801447121641372,36435.11,413,1.815
18,full_chimera,110.58,0.6991479554220031,36469.16,602,0.0
19,full_chimera,110.58,0.7025860916034273,40800.2,690,1000.0
20,full_chimera,110.58,0.708884179166767,43374.42,749,2000.0
21,full_chimera,104.46603180000001,0.7387921971013368,43513.99115720001,854,3000.0
22,full_chimera,104.46603180000001,0.7373879779505272,35447.3867018,651,10.0
23,full_chimera,114.91263498000002,0.7359279055599971,34336.78390442001,529,2.0
24,full_chimera,149.38642547400002,0.719781309716301,36174.658872536005,364,2.0
25,full_chimera,149.38642547400002,0.7184132244773609,35570.340319692004,358,10.0
26,full_chimera,149.38642547400002,0.7170831458659802,36261.04529801001,365,15.0
27,full_chimera,149.38642547400002,0.7156489795742482,34884.63534137401,351,0.0
28,full_chimera,149.38642547400002,0.7191682613382754,40444.13942265801,417,1000.0
29,full_chimera,149.38642547400002,0.7243064175965714,41534.32223024201,433,1500.0
30,full_chimera,149.38642547400002,0.7228650297275445,35579.340319692004,358,1.0
31,full_chimera,149.38642547400002,0.7217712813287475,31157.337598836006,314,50.0
32,full_chimera,149.38642547400002,0.7207134077618207,30257.85976957001,305,55.0
33,full_chimera,149.38642547400002,0.7196944848684637,29258.495514830007,295,60.5
34,full_chimera,149.38642547400002,0.718298419410154,30406.196195044005,306,6.05
35,full_chimera,149.38642547400002,0.7168639907504265,30610.716545992007,308,0.3025
36,full_chimera,149.38642547400002,0.715432534793491,28324.813635090006,285,0.317625
37,full_chimera,119.50914037920002,0.735451078007097,25505.85451916641,367,4.0
38,full_chimera,119.50914037920002,0.734038660636686,25362.83623840801,365,8.0
39,full_chimera,119.50914037920002,0.7325705833154126,27108.564747888006,390,0.0
40,full_chimera,119.50914037920002,0.7361730789079565,32155.859960878406,477,1000.0
41,full_chimera,119.50914037920002,0.7406586429907741,32948.49706656641,492,1250.0
42,full_chimera,131.46005441712003,0.7453740649950268,33063.64296402466,422,1312.5
43,full_chimera,131.46005441712003,0.7503276699983994,35523.279650955374,453,1378.125
44,full_chimera,131.46005441712003,0.755736033393303,36525.90791279505,467,1515.9375
45,full_chimera,131.46005441712003,0.7624365879679104,38759.308458560015,500,1970.71875
46,full_chimera,131.46005441712003,0.7661859528896054,38263.74622905186,482,1000.0
47,full_chimera,131.46005441712003,0.7716600308773249,39881.70764389698,508,1500.0
48,full_chimera,131.46005441712003,0.7778368877011356,42752.189711747546,546,1725.0
49,full_chimera,131.46005441712003,0.7783178984228488,36357.02448770402,450,300.0
50,full_chimera,131.46005441712003,0.7778468792542669,36588.484542121136,451,150.0
51,full_chimera,131.46005441712003,0.7764067644821899,36804.944596538255,452,15.0
52,full_chimera,131.46005441712003,0.7749921842636898,33869.382637521936,416,18.0
