price,demand,revenue,profit
50.0,1636,81800.0,-500.0
55.0,1460,80300.0,6800.0
60.0,1315,78900.0,12650.0
65.0,1194,77610.0,17410.0
70.0,1093,76510.0,21360.0
75.0,1006,75450.0,24650.0
80.0,931,74480.0,27430.0
85.0,865,73525.0,29775.0
90.0,808,72720.0,31820.0
95.0,757,71915.0,33565.0
100.0,712,71200.0,35100.0
105.0,672,70560.0,36460.0
110.0,635,69850.0,37600.0
115.0,602,69230.0,38630.0
120.0,572,68640.0,39540.0
125.0,545,68125.0,40375.0
130.0,520,67600.0,41100.0
135.0,497,67095.0,41745.0
140.0,475,66500.0,42250.0
145.0,456,66120.0,42820.0
150.0,438,65700.0,43300.0
155.0,438,67890.0,43300.0
160.0,438,70080.0,43300.0
165.0,438,72270.0,43300.0
170.0,438,74460.0,43300.0
175.0,438,76650.0,43300.0
180.0,438,78840.0,43300.0
185.0,438,81030.0,43300.0
190.0,438,83220.0,43300.0
195.0,438,85410.0,43300.0
200.0,438,87600.0,43300.0
